"asv","Kingdom","Phylum","Class","Order","Family","Genus","Species","C0333.N.518126","C0333.T.518046","X38U4VAHB.518100","XZ33PN7O.518030","GQ6LSNI6.518106","C0270.N.518041","HZIMMAM6.518095","LRQ9WN6C.518048","A8A34NCW.518023","C0332.N.518027","C10.S.517995","MQE9ONGV.518038","C0230.N.517992","C0256.N.518170","HZIMMNL5.518062","GQ6LSABJ.518010","C0282.N.518138","TV28INUO.518004","C0315.N.518021","C0235.N.517993","X5TA9VN6K.518161","A8A34AP9.518086","UEL2GAPI.518173","O436FAO8.518097","C0378.N.518158","X41E1KNBP.517985","C0269.T.518150","C0378.T.518104","R8J9ZNOW.518040","X8XBKGABK.517998","R8J9ZAGC.518059","X5TA9VAT9.518088","OTGGZAZO.518108","C0269.N.518130","C0271.T.518078","C0318.N.518105","C0159.T.518087","C0318.T.518140","O436FNP3.518007","C0209.N.517984","C0240.N.518020","C0306.N.518003","MQETMNL4.518037","C0209.T.518128","C0112.T.518024","C0355.T.518157","C0322.N.518165","X6G2KBNS6.518045","C0240.T.518052","C0268.T.518114","C0285.T.518044","X41E1KAMA.517991","QFHRSAG2.518005","I7ROLN9P.518079","QFHRSNIH.518116","C0271.N.518022","KIXFRARY.518160","C0133.N.518051","C0268.N.518089","OTGGZN5Y.518063","C0134.N.518072","C0395.N.518054","UZ65XAS5.518119","C0311.T.518131","X5EKFOAO4.518164","C0294.T.518134","C0388.N.518136","C0186.N.518143","X38U4VNBW.518090","C0334.T.518147","JIDZEN4J.518073","JIDZEAPD.518149","LRQ9WAHA.518036","UZ65XN27.518028","C0159.N.518042","C0306.T.518122","C0394.N.518031","C0342.N.518068","X82S3MAZ4.518145","C4.T.518118","C0398.N.518152","C0388.T.518015","C0285.N.518084","C0308.N.518154","C0355.N.518077","C0308.T.518162","C0211.T.518096","C0206.N.518065","C0149.N.518039","C4.S.518169","C0374.N.518099","C0362.N.518069","C0211.N.518117","G3UBQNDP.518121","C0341.N.518101","C1.T.518120","C0399.T.518153","C0294.N.517987","C0186.T.518019","G2OD5N55.518146","X8XBKGN9F.518085","YOTV6ASH.518142","C0258.T.517997","C0230.T.518144","C0315.T.518034","C0349.N.517989","C0212.N.518167","C0245.N.518071","YOTV6NC8.518156","C0112.N.518001","C0335.N.518107","C0344.N.518103","X82S3MNBY.518050","X5EKFONB3.518125","C0225.N.518047","C6.S.518082","C0241.N.518043","C1.S.518137","XBS5MNEH.518074","C0195.N.518110","C0322.T.518018","C0342.T.518093","C0198.T.518166","C0395.T.518075","G3UBQAJU.518060","C0195.T.517986","C0335.T.518115","C0349.T.518111","C0149.T.518132","C0311.N.518124","C0154.N.518002","C0258.N.518014","C0371.N.518009","C0330.N.518148","C0344.T.518029","C0206.T.518053","C0282.T.518000","C0371.T.518139","C0394.T.518064","C0332.T.518017","G2OD5ABL.518057","C6.T.518061","C0256.T.518080","C0245.T.518151","C0095.T.518141","C0252.T.518006","C0366.T.518172","C0241.T.518067","C0198.N.518081","C0330.T.518035","C0325.N.518109","C0225.T.518033","C0154.T.518091","C0366.N.518094","C0270.T.518163","MQETMAZC.518171","C0095.N.518123","C0341.T.518113","C0252.N.518016","C0325.T.518083","C0212.T.518155","C0399.N.518011","C0334.N.518066","XZ33PA3O.518135","C0134.T.517988","KIXFRNL2.518129","C0374.T.518127","C0275.N.518076","X59S9WAIH.518013","C0314.T.518025","X6G2KBASQ.517999","C0133.T.518133","UEL2GN92.518058","X59S9WNC6.518055","C0235.T.518049","C0362.T.518026","TV28IANZ.518070","C10.T.518056","C0275.T.518032","C3.S.517996","MQE9OAS7.518008","X32I9UAPQ.518112","C0398.T.518092","UTWNWANU.518168","UTWNWN3P.518012","BFJMKAKB.518159","XBS5MA8H.517990","C3.T.517994","X32I9UNA9.518098","BFJMKNMP.518102"
"100122","Bacteria","Actinobacteria","Actinobacteria (class)","Actinomycetales","Brevibacteriaceae","Brevibacterium",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100187","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Chryseobacterium",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100198","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100258","Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100412","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100506","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100551","Bacteria","Tenericutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Clostridium",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101433","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"101445","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101516","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
